🕘️更新时间,#genre#
2026-01-31 22:25:40,https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000

📺央视频道,#genre#
CCTV-1,https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000
CCTV-3,https://live.v1.mk/api/bestv.php?id=cctv38m/8000000
CCTV-4,https://live.v1.mk/api/bestv.php?id=cctv4hd8m/8000000
CCTV-5,https://live.v1.mk/api/bestv.php?id=cctv58m/8000000
CCTV-5+,https://live.v1.mk/api/bestv.php?id=cctv5phd8m/8000000
CCTV-6,https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000
CCTV-7,https://live.v1.mk/api/bestv.php?id=cctv7hd8m/8000000
CCTV-8,https://live.v1.mk/api/bestv.php?id=cctv8hd8m/8000000
CCTV-9,https://live.v1.mk/api/bestv.php?id=cctv9hd8m/8000000
CCTV-10,https://live.v1.mk/api/bestv.php?id=cctv10hd8m/8000000
CCTV-11,https://live.v1.mk/api/bestv.php?id=cctv11hd8m/8000000
CCTV-12,https://live.v1.mk/api/bestv.php?id=cctv12hd8m/8000000
CCTV-13,https://live.v1.mk/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV-14,https://live.v1.mk/api/bestv.php?id=cctvsehd8m/8000000
CCTV-15,https://live.v1.mk/api/bestv.php?id=cctv15hd8m/8000000
CCTV-16,https://live.v1.mk/api/bestv.php?id=cctv16hd4k/15000000
CCTV-16,https://live.v1.mk/api/bestv.php?id=cctv16hd8m/8000000
CCTV-17,https://live.v1.mk/api/bestv.php?id=cctv17hd8m/8000000
